id,assessmentPdiId,competenciaId,peso,notaCorte,microInicio,microTermino,createdAt,updatedAt,nivelAtual,metaFinal,justificativa,metaCiclo1,metaCiclo2
62409,60389,30022,opcional,8.00,2025-04-20 00:00:00,2025-05-25 00:00:00,2026-03-05 20:45:17,2026-03-07 00:16:25,,,,,
62410,60389,30028,obrigatoria,8.00,2025-06-29 00:00:00,2025-08-03 00:00:00,2026-03-05 20:45:17,2026-03-07 00:16:25,,,,,
62411,60390,30034,obrigatoria,8.00,2026-01-12 00:00:00,2026-02-16 00:00:00,2026-03-05 20:45:17,2026-03-07 00:16:26,,,,,
62412,60390,30013,obrigatoria,8.00,2025-05-20 00:00:00,2025-06-24 00:00:00,2026-03-05 20:45:17,2026-03-07 00:16:26,,,,,
62413,60390,30015,obrigatoria,8.00,2025-10-27 00:00:00,2025-12-01 00:00:00,2026-03-05 20:45:17,2026-03-07 00:16:26,,,,,
62414,60390,30016,opcional,8.00,2025-09-17 00:00:00,2025-10-22 00:00:00,2026-03-05 20:45:17,2026-03-07 00:16:26,,,,,
62415,60390,30035,obrigatoria,8.00,2026-01-30 00:00:00,2026-03-06 00:00:00,2026-03-05 20:45:17,2026-03-07 00:16:26,,,,,
62416,60390,30036,obrigatoria,8.00,2026-02-24 00:00:00,2026-03-31 00:00:00,2026-03-05 20:45:17,2026-03-05 20:45:17,,,,,
62417,60390,30021,opcional,8.00,2025-08-08 00:00:00,2025-09-12 00:00:00,2026-03-05 20:45:17,2026-03-07 00:16:26,,,,,
62418,60390,30022,obrigatoria,8.00,2025-04-20 00:00:00,2025-05-25 00:00:00,2026-03-05 20:45:18,2026-03-07 00:16:26,,,,,
62419,60390,30028,opcional,8.00,2025-06-29 00:00:00,2025-08-03 00:00:00,2026-03-05 20:45:18,2026-03-07 00:16:26,,,,,
62420,60391,30034,obrigatoria,8.00,2026-01-12 00:00:00,2026-02-16 00:00:00,2026-03-05 20:45:18,2026-03-07 00:16:26,,,,,
62421,60391,30013,opcional,8.00,2025-05-20 00:00:00,2025-06-24 00:00:00,2026-03-05 20:45:18,2026-03-07 00:16:26,,,,,
62422,60391,30015,opcional,8.00,2025-10-27 00:00:00,2025-12-01 00:00:00,2026-03-05 20:45:18,2026-03-07 00:16:26,,,,,
62423,60391,30016,opcional,8.00,2025-09-17 00:00:00,2025-10-22 00:00:00,2026-03-05 20:45:18,2026-03-07 00:16:26,,,,,
62424,60391,30035,opcional,8.00,2026-01-30 00:00:00,2026-03-06 00:00:00,2026-03-05 20:45:18,2026-03-07 00:16:26,,,,,
62425,60391,30036,opcional,8.00,2026-02-24 00:00:00,2026-03-31 00:00:00,2026-03-05 20:45:18,2026-03-05 20:45:18,,,,,
62426,60391,30021,opcional,8.00,2025-08-08 00:00:00,2025-09-12 00:00:00,2026-03-05 20:45:18,2026-03-07 00:16:26,,,,,
