id,userId,title,message,type,category,link,isRead,createdAt
330011,660138,Sessão de Mentoria #17 Registrada,Sua mentora registrou a sessão #17. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-18 19:22:06
330012,660141,Sessão de Mentoria #17 Registrada,Sua mentora registrou a sessão #17. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-18 19:37:10
330013,660128,Sessão de Mentoria #17 Registrada,Sua mentora registrou a sessão #17. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-18 19:37:44
330014,660112,Sessão de Mentoria #17 Registrada,Sua mentora registrou a sessão #17. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-18 19:38:20
330015,660137,Sessão de Mentoria #17 Registrada,Sua mentora registrou a sessão #17. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-18 19:38:55
330016,660132,Sessão de Mentoria #17 Registrada,Sua mentora registrou a sessão #17. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-18 19:40:13
330017,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-18 20:08:02
330018,660113,Sessão de Mentoria #17 Registrada,Sua mentora registrou a sessão #17. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-18 20:10:35
330019,4293060,Assessment PDI Criado,Sua mentora criou um novo Assessment PDI para você. Seu portal completo já está disponível!,success,assessment,/meu-dashboard,0,2026-03-19 00:32:29
330020,4293060,Assessment PDI Criado,Sua mentora criou um novo Assessment PDI para você. Seu portal completo já está disponível!,success,assessment,/meu-dashboard,0,2026-03-19 00:33:41
330021,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-19 00:35:23
330022,4385515,Sessão de Mentoria #1 Registrada,Sua mentora registrou a sessão #1. Você tem uma nova tarefa para realizar!,action,mentoria,/meu-dashboard,0,2026-03-19 01:13:01
330023,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-19 01:35:44
330024,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-19 01:52:59
330025,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-19 01:53:18
330026,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-19 01:53:37
360001,660124,Sessão de Mentoria #17 Registrada,Sua mentora registrou a sessão #17. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-19 14:33:14
360002,660118,Sessão de Mentoria #17 Registrada,Sua mentora registrou a sessão #17. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-19 14:34:48
390001,660111,Sessão de Mentoria #17 Registrada,Sua mentora registrou a sessão #17. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-19 17:28:30
390002,660129,Sessão de Mentoria #17 Registrada,Sua mentora registrou a sessão #17. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-19 17:29:01
390003,660134,Sessão de Mentoria #17 Registrada,Sua mentora registrou a sessão #17. Confira o feedback no seu portal.,info,mentoria,/meu-dashboard,0,2026-03-19 17:42:42
390004,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-19 18:37:33
390005,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-19 19:20:55
390006,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-19 19:21:16
390007,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-19 19:21:37
390008,2,Test Notification,This is a test notification,info,sistema,,1,2026-03-19 20:08:55
390009,570386,Lembrete: 2026/06 - Aula 04 - Resiliência e Proatividade na Prática Organizacional,"Evento: 2026/06 - Aula 04 - Resiliência e Proatividade na Prática Organizacional
Data: 25/03/2026 às 11:00 (horário de Brasília)
Palestrante: Sandra Pitman
Link: https://www.even3.com.br/202606-aula-04-Integracao-704241",action,,,0,2026-03-19 20:14:38
