id,activityId,userId,status,createdAt,updatedAt
420017,210058,660173,inscrito,2026-03-22 13:18:10,2026-03-22 13:18:10
420018,210057,660173,inscrito,2026-03-22 13:18:11,2026-03-22 13:18:11
420019,210060,660173,inscrito,2026-03-22 13:18:13,2026-03-22 13:18:13
420020,210061,660173,inscrito,2026-03-22 13:18:14,2026-03-22 13:18:14
420021,210062,660173,inscrito,2026-03-22 13:18:15,2026-03-22 13:18:15
420022,210065,660173,inscrito,2026-03-22 13:18:16,2026-03-22 13:18:16
420023,210064,660173,inscrito,2026-03-22 13:18:17,2026-03-22 13:18:17
420024,210063,660173,inscrito,2026-03-22 13:18:18,2026-03-22 13:18:18
420025,210066,660173,inscrito,2026-03-22 13:18:19,2026-03-22 13:18:19
420026,210067,660173,inscrito,2026-03-22 13:18:20,2026-03-22 13:18:20
420027,210068,660173,inscrito,2026-03-22 13:18:21,2026-03-22 13:18:21
420028,210072,660173,inscrito,2026-03-22 13:18:22,2026-03-22 13:18:22
420029,210071,660173,inscrito,2026-03-22 13:18:24,2026-03-22 13:18:24
420030,210069,660173,inscrito,2026-03-22 13:18:24,2026-03-22 13:18:24
420031,210073,660173,inscrito,2026-03-22 13:18:25,2026-03-22 13:18:25
420032,210076,660173,inscrito,2026-03-22 13:18:26,2026-03-22 13:18:26
420033,210077,660173,inscrito,2026-03-22 13:18:27,2026-03-22 13:18:27
420034,210080,660173,inscrito,2026-03-22 13:18:28,2026-03-22 13:18:28
420035,210079,660173,inscrito,2026-03-22 13:18:29,2026-03-22 13:18:29
420036,210078,660173,inscrito,2026-03-22 13:18:30,2026-03-22 13:18:30
420037,210081,660173,inscrito,2026-03-22 13:18:31,2026-03-22 13:18:31
420038,210082,660173,inscrito,2026-03-22 13:18:32,2026-03-22 13:18:32
420039,210083,660173,inscrito,2026-03-22 13:18:33,2026-03-22 13:18:33
420040,210084,660173,inscrito,2026-03-22 13:18:35,2026-03-22 13:18:35
420041,210085,660173,inscrito,2026-03-22 13:18:35,2026-03-22 13:18:35
420042,210086,660173,inscrito,2026-03-22 13:18:36,2026-03-22 13:18:36
420043,210087,660173,inscrito,2026-03-22 13:18:38,2026-03-22 13:18:38
420044,210088,660173,inscrito,2026-03-22 13:18:39,2026-03-22 13:18:39
420045,210090,660173,inscrito,2026-03-22 13:18:39,2026-03-22 13:18:39
420046,210091,660173,inscrito,2026-03-22 13:18:41,2026-03-22 13:18:41
420047,210092,660173,inscrito,2026-03-22 13:18:42,2026-03-22 13:18:42
420048,210095,660173,inscrito,2026-03-22 13:18:43,2026-03-22 13:18:43
420049,210096,660173,inscrito,2026-03-22 13:18:45,2026-03-22 13:18:45
420050,210097,660173,inscrito,2026-03-22 13:18:46,2026-03-22 13:18:46
420051,210098,660173,inscrito,2026-03-22 13:18:47,2026-03-22 13:18:47
450001,390015,2,inscrito,2026-03-23 14:50:59,2026-03-23 14:50:59
450002,390016,2,inscrito,2026-03-23 14:50:59,2026-03-23 14:50:59
450004,390034,2,inscrito,2026-03-23 14:51:23,2026-03-23 14:51:23
450005,390035,2,inscrito,2026-03-23 14:51:23,2026-03-23 14:51:23
450007,390053,2,inscrito,2026-03-23 15:16:58,2026-03-23 15:16:58
450008,390054,2,inscrito,2026-03-23 15:16:58,2026-03-23 15:16:58
450010,390072,2,inscrito,2026-03-24 00:31:22,2026-03-24 00:31:22
450011,390073,2,inscrito,2026-03-24 00:31:22,2026-03-24 00:31:22
450013,390091,2,inscrito,2026-03-24 02:31:19,2026-03-24 02:31:19
450014,390092,2,inscrito,2026-03-24 02:31:19,2026-03-24 02:31:19
480001,420015,2,inscrito,2026-03-24 15:39:32,2026-03-24 15:39:32
480002,420016,2,inscrito,2026-03-24 15:39:33,2026-03-24 15:39:33
480004,420034,2,inscrito,2026-03-24 15:56:19,2026-03-24 15:56:19
480005,420035,2,inscrito,2026-03-24 15:56:19,2026-03-24 15:56:19
480007,420031,660173,inscrito,2026-03-24 18:09:57,2026-03-24 18:09:57
480008,420028,660173,inscrito,2026-03-24 18:09:58,2026-03-24 18:09:58
480009,420029,660173,inscrito,2026-03-24 18:09:59,2026-03-24 18:09:59
510001,450015,2,inscrito,2026-03-26 14:58:16,2026-03-26 14:58:16
510002,450016,2,inscrito,2026-03-26 14:58:16,2026-03-26 14:58:16
